Name,Team,Age,Pos,Level,G,AVG,OBP,SLG,AB,H,B2,B3,HR,R,RBI,BB,K,SB,CS,GIDP,PO
"Hodges, Julio",OKC,35,RF,ML,21,0.23300000000000001,0.34300000000000003,0.36699999999999999,30,7,1,0,1,6,6,5,8,0,1,0,0
"Honeywell, Randy",PEOR,27,RF,ML,12,0.38200000000000001,0.41699999999999998,0.5,34,13,4,0,0,3,2,2,4,0,0,2,0
"Hoopii, Pedro",PEOR,26,LF,ML,10,0.48299999999999998,0.5,0.72399999999999998,29,14,2,1,1,5,3,1,0,0,0,1,0
"Hornigold, Benjamin",AUCK,31,3B,ML,25,0.28399999999999997,0.37,0.432,95,27,5,0,3,15,14,13,25,0,0,3,0
"Horsley, Jeffrey",CASP,27,C,ML,12,0.16700000000000001,0.28599999999999998,0.16700000000000001,12,2,0,0,0,0,1,2,2,0,0,1,0
"Humes, Kimo",OMA,30,LF,ML,25,0.28899999999999998,0.379,0.48899999999999999,90,26,4,1,4,13,14,13,26,0,0,1,0
"Hunter, Charles",NORW,30,1B,ML,25,0.36699999999999999,0.39400000000000002,0.64400000000000002,90,33,10,0,5,15,17,4,19,1,0,6,0
"Idaho, Duncan",NORW,33,1B,ML,25,0.255,0.38100000000000001,0.42599999999999999,94,24,7,0,3,17,11,19,27,0,0,5,0
"Ina, Anderson",IDA,29,CF,ML,20,0.29499999999999998,0.35799999999999998,0.39300000000000002,61,18,3,0,1,8,8,6,10,0,0,2,0
"Irvin, Leonel",EDMO,28,1B,ML,26,0.29499999999999998,0.38500000000000001,0.505,95,28,5,0,5,17,15,14,8,0,0,2,0
"Iwanski, Travis",MAHO,29,1B,ML,22,0.26600000000000001,0.39600000000000002,0.48099999999999998,79,21,5,0,4,17,12,17,19,0,0,1,0
"Jack, Ray",IDA,32,3B,ML,24,0.23300000000000001,0.33700000000000002,0.4,90,21,0,0,5,12,16,14,25,0,0,5,0
"Jahari, Tanka",RICH,27,2B,ML,26,0.30299999999999999,0.378,0.56599999999999995,99,30,8,0,6,16,19,12,15,0,1,4,1
"Jaime, Donny",SUGR,30,CF,ML,25,0.31,0.33900000000000002,0.41599999999999998,113,35,12,0,0,21,10,5,9,0,0,7,0
"Jasmin, Willy",ROME,28,C,ML,25,0.28899999999999998,0.34699999999999998,0.46700000000000003,90,26,4,0,4,10,13,8,17,2,1,2,0
"Jax, Ryan",ERIE,27,C,ML,24,0.27200000000000002,0.309,0.435,92,25,4,1,3,10,19,5,15,0,0,3,0
"Jetski, Dwayne",ELP,26,RF,ML,22,0.316,0.373,0.47399999999999998,76,24,4,1,2,10,9,7,9,0,1,2,0
"Jinwoo, Sung",SF,30,1B,ML,27,0.32100000000000001,0.40500000000000003,0.72599999999999998,106,34,8,1,11,26,31,15,17,0,1,3,1
"Joe, Aroma",ELP,24,1B,ML,26,0.26600000000000001,0.33700000000000002,0.34,94,25,4,0,1,13,7,10,20,0,0,1,0
"Johnson, Fairweather",MIDL,28,RF,ML,22,0.28599999999999998,0.30599999999999999,0.34300000000000003,35,10,2,0,0,9,3,1,7,2,1,2,0
"Johnson, Josh",LV,25,SS,ML,9,0.222,0.3,0.44400000000000001,18,4,1,0,1,4,3,2,7,0,0,1,0
"Johnson, Nasir",SCRN,33,RF,ML,26,0.315,0.34499999999999997,0.48099999999999998,108,34,3,0,5,15,13,5,23,0,0,4,0
"Johnson, Vincent",EDMO,26,C,ML,9,0.11799999999999999,0.16700000000000001,0.17599999999999999,17,2,1,0,0,0,1,1,3,0,0,0,0
"Johnston, Dan",SUGR,27,RF,ML,9,0.22900000000000001,0.27,0.22900000000000001,35,8,0,0,0,4,1,2,11,0,0,2,0
"Jones, Alexander",ELP,27,C,ML,7,0.222,0.3,0.222,9,2,0,0,0,0,1,1,3,0,0,0,0
"Jones, Bryce",IDA,29,C,ML,23,0.32400000000000001,0.38700000000000001,0.61799999999999999,68,22,5,0,5,17,13,7,16,0,0,2,0
"Jones, Hollis",OMA,27,1B,ML,25,0.216,0.25800000000000001,0.22700000000000001,88,19,1,0,0,10,7,5,11,0,0,3,0
"Kelly, Seth",TEX,36,3B,ML,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Kerle, Jerry",MIDL,31,CF,ML,10,0.4,0.45500000000000002,0.7,10,4,3,0,0,2,3,1,4,0,0,0,0
