Period,Name,Team,Age,Pos,Level,G,AVG,OBP,SLG,AB,H,B2,B3,HR,R,RBI,BB,K,SB,CS,GIDP,PO
Last3,"Vasquez, Dick",OKC,31,SS,ML,329,0.30199999999999999,0.34300000000000003,0.45100000000000001,1356,410,98,7,30,224,183,84,80,42,21,35,2
Last3,"Verrill, Johnnie",DAY,28,C,ML,324,0.26900000000000002,0.29299999999999998,0.41399999999999998,1084,292,56,1,33,118,151,37,113,0,4,24,3
Last3,"Vile, Durance",CASP,23,SS,ML,53,0.27600000000000002,0.33300000000000002,0.4,210,58,4,2,6,31,16,18,26,0,0,4,0
Last3,"Villalobos, Pete",NORW,25,2B,ML,287,0.28299999999999997,0.32300000000000001,0.45400000000000001,1032,292,63,9,32,144,157,61,198,0,0,42,0
Last3,"Visalli, Ronnie",LOUI,29,RF,ML,333,0.255,0.36599999999999999,0.499,1212,309,55,2,79,234,175,212,351,6,3,27,2
Last3,"Vorenus, Lucius",CASP,27,CF,ML,338,0.35499999999999998,0.40300000000000002,0.61199999999999999,1436,510,130,1,79,276,230,114,133,3,1,38,1
Last3,"Wade, Bruno",ELP,25,1B,ML,179,0.27,0.317,0.435,648,175,37,2,22,83,91,45,73,0,0,13,0
Last3,"Waldenmyer, Jordan",ROME,28,CF,ML,280,0.33100000000000002,0.38600000000000001,0.47899999999999998,870,288,49,7,22,121,126,78,103,6,4,25,3
Last3,"Walker, Jason",DAY,30,3B,ML,338,0.311,0.37,0.42699999999999999,1418,441,102,7,16,200,138,134,113,2,2,57,2
Last3,"Wall, Truman",DAY,33,1B,ML,330,0.28000000000000003,0.317,0.45100000000000001,1247,349,64,3,48,176,201,68,155,2,4,52,4
Last3,"Ward, Eugene",CASP,28,3B,ML,176,0.29199999999999998,0.35899999999999999,0.498,641,187,36,6,28,91,102,67,133,2,1,32,1
Last3,"Watney, Mark",NORW,37,3B,ML,328,0.26800000000000002,0.36699999999999999,0.40200000000000002,1239,332,95,4,21,209,136,193,308,1,4,34,3
Last3,"Waynick, Jason",DAY,26,LF,ML,43,0.27600000000000002,0.32400000000000001,0.378,98,27,7,0,1,13,9,7,13,0,0,3,0
